GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Standard of living index,Standard of living state rank,Health index,Health state rank,Education index,Education state rank,HDI,HDI state rank
thoppanahalli,1502.0,958.0,0.1023,4314.0,1.0,1.0,0.5607,5169.0,0.3857,4492.0
vengasandra,1427.0,695.0,0.109,4063.0,1.0,1.0,0.6315,3969.0,0.4099,3893.0
ammanallur,1410.0,1086.0,0.1777,1476.0,0.9758,2796.0,0.5448,5320.0,0.4554,2386.0
arabilkothanur,1406.0,1305.0,0.166,1805.0,0.9758,2796.0,0.6689,2820.0,0.4767,1752.0
arahalli,1689.0,1127.0,0.1501,2315.0,0.9758,2796.0,0.6693,2806.0,0.4611,2205.0
belamaranahalli,929.0,929.0,0.1272,3310.0,1.0,1.0,0.639,3762.0,0.4332,3176.0
bellur,1667.0,1200.0,0.1639,1875.0,0.9758,2796.0,0.6448,3615.0,0.4689,1967.0
channasandra,1510.0,1510.0,0.1811,1392.0,0.9255,4748.0,0.6254,4126.0,0.4715,1888.0
chowdadenahalli,1591.0,1287.0,0.15,2316.0,1.0,1.0,0.6507,3443.0,0.4605,2227.0
doodahasala,1870.0,1273.0,0.1649,1844.0,0.8992,5081.0,0.6361,3855.0,0.4552,2392.0
gaddekannur,1364.0,783.0,0.1821,1362.0,1.0,1.0,0.6447,3619.0,0.4896,1464.0
harati,1780.0,703.0,0.1464,2460.0,0.951,4134.0,0.6629999999999999,3021.0,0.4519,2520.0
holur,1327.0,973.0,0.1303,3166.0,0.9255,4748.0,0.6315,3967.0,0.4239,3475.0
huttur,1541.0,1377.0,0.1237,3456.0,0.9255,4748.0,0.6523,3391.0,0.4212,3566.0
itharasanahalli,1106.0,800.0,0.1384,2797.0,1.0,1.0,0.5792,4949.0,0.4311,3236.0
janna ghatta,1049.0,785.0,0.1089,4068.0,0.9758,2796.0,0.6381,3789.0,0.4077,3955.0
kondarajanahalli,890.0,890.0,0.1555,2129.0,0.8992,5081.0,0.5694,5071.0,0.4302,3272.0
kurugal,1126.0,1126.0,0.1359,2899.0,0.9758,2796.0,0.6014,4615.0,0.4304,3264.0
kyalanur,1336.0,1336.0,0.1854,1296.0,1.0,1.0,0.7192,1057.0,0.5108,1024.0
madderi,1434.0,1308.0,0.1146,3827.0,1.0,1.0,0.6494,3482.0,0.4207,3582.0
manigatta,1060.0,963.0,0.1161,3760.0,1.0,1.0,0.5907,4786.0,0.4093,3909.0
muduvadi,1338.0,721.0,0.1045,4227.0,0.9758,2796.0,0.6566,3244.0,0.4061,3991.0
muduvathi,1934.0,1178.0,0.1416,2656.0,1.0,1.0,0.616,4328.0,0.4435,2811.0
narasapura,1194.0,1194.0,0.1731,1601.0,1.0,1.0,0.6418,3690.0,0.4807,1639.0
seeti,1686.0,1040.0,0.1495,2349.0,0.9255,4748.0,0.6179,4293.0,0.4405,2906.0
settihalli,1161.0,1161.0,0.2004,998.0,0.951,4134.0,0.6349,3887.0,0.4946,1345.0
shapur,1341.0,882.0,0.1363,2879.0,0.9255,4748.0,0.5774,4976.0,0.4176,3681.0
sugatur,1473.0,969.0,0.1725,1617.0,0.9758,2796.0,0.6707,2764.0,0.4833,1592.0
sulur,1420.0,728.0,0.1448,2527.0,0.9758,2796.0,0.6605,3116.0,0.4536,2459.0
thoradevanda halli,1634.0,1253.0,0.155,2152.0,0.9255,4748.0,0.6835,2320.0,0.4611,2203.0
thotli,1463.0,950.0,0.1348,2943.0,1.0,1.0,0.6892,2117.0,0.4529,2488.0
uragili,1010.0,826.0,0.1509,2277.0,1.0,1.0,0.6084,4495.0,0.4511,2548.0
vadagur,1411.0,800.0,0.17,1677.0,0.8578,5472.0,0.6043,4568.0,0.445,2752.0
vemagal,1565.0,1565.0,0.1924,1162.0,1.0,1.0,0.6276,4072.0,0.4943,1354.0
vokkaleri,1694.0,1454.0,0.147,2444.0,0.951,4134.0,0.6345,3892.0,0.4459,2722.0
araleri,1198.0,1198.0,0.1476,2420.0,1.0,1.0,0.6431,3650.0,0.4562,2361.0
baliganahalli,1325.0,716.0,0.1593,2006.0,1.0,1.0,0.6479,3524.0,0.4691,1960.0
banahalli,1157.0,729.0,0.1596,1995.0,1.0,1.0,0.6749,2619.0,0.4758,1786.0
chickkakuntur,1435.0,1435.0,0.128,3273.0,0.9255,4748.0,0.5386,5362.0,0.3996,4160.0
chikkathirupathi,1821.0,1821.0,0.1971,1061.0,0.9758,2796.0,0.6304,3994.0,0.495,1332.0
dadinaikanahallidoddi,1833.0,1121.0,0.153,2220.0,0.9758,2796.0,0.4782,5661.0,0.4149,3754.0
dinnahalli,1786.0,890.0,0.1172,3722.0,0.9255,4748.0,0.5989,4654.0,0.402,4102.0
doddashivara,1485.0,1066.0,0.1586,2020.0,1.0,1.0,0.6393,3755.0,0.4663,2044.0
hasandahalli,1626.0,1277.0,0.1363,2880.0,0.8578,5472.0,0.6013,4616.0,0.4127,3812.0
huladenahalli,1420.0,856.0,0.1325,3056.0,0.9758,2796.0,0.6659999999999999,2918.0,0.4416,2882.0
hulimangala hosakote (h.hosakote),1257.0,1257.0,0.1964,1079.0,1.0,1.0,0.5975,4679.0,0.4896,1468.0
hungenahalli,1316.0,1316.0,0.1548,2161.0,1.0,1.0,0.5804,4929.0,0.4479,2659.0
jayamangala,1161.0,1161.0,0.1534,2199.0,1.0,1.0,0.623,4185.0,0.4572,2332.0
kavala giriyana halli (k.g. halli),1481.0,1016.0,0.1155,3793.0,0.9758,2796.0,0.5803,4931.0,0.4029,4076.0
kondasettihalli,1433.0,939.0,0.166,1808.0,0.951,4134.0,0.6117,4424.0,0.4588,2284.0
kudiyanur,985.0,985.0,0.1551,2144.0,1.0,1.0,0.6169,4314.0,0.4574,2329.0
lakkur,1286.0,1286.0,0.19699999999999998,1062.0,1.0,1.0,0.6685,2834.0,0.5088,1062.0
madivala,1402.0,1402.0,0.1921,1168.0,1.0,1.0,0.6702,2780.0,0.505,1123.0
masthi,1940.0,1783.0,0.1304,3165.0,0.879,5288.0,0.584,4879.0,0.406,3994.0
nosagere,1090.0,941.0,0.145,2515.0,0.8359,5608.0,0.6835,2322.0,0.4359,3075.0
nutuve,1263.0,626.0,0.1385,2789.0,0.6835,5857.0,0.5719,5047.0,0.3783,4662.0
rajenahalli,1538.0,976.0,0.1308,3145.0,0.9758,2796.0,0.6666,2891.0,0.4398,2942.0
santehalli,1214.0,927.0,0.1535,2195.0,1.0,1.0,0.6453,3605.0,0.4627,2154.0
shivarapatna,1496.0,1496.0,0.1966,1073.0,0.951,4134.0,0.5721,5041.0,0.4747,1821.0
tekal,1543.0,1543.0,0.1556,2128.0,0.9758,2796.0,0.7158,1164.0,0.4772,1742.0
thornahalli,1174.0,1139.0,0.1789,1444.0,1.0,1.0,0.6703,2776.0,0.4931,1377.0
thrunasi,1622.0,722.0,0.1177,3702.0,1.0,1.0,0.5604,5172.0,0.40399999999999997,4042.0
alangur,1374.0,929.0,0.1323,3067.0,1.0,1.0,0.6573,3212.0,0.4431,2832.0
amblikal,1735.0,1612.0,0.1294,3217.0,0.951,4134.0,0.6857,2236.0,0.4386,2978.0
angondahalli,1662.0,1296.0,0.1639,1876.0,1.0,1.0,0.6698,2790.0,0.4788,1686.0
avani,1672.0,1072.0,0.1564,2089.0,1.0,1.0,0.6568,3230.0,0.4684,1981.0
balla,1756.0,1346.0,0.1511,2273.0,0.951,4134.0,0.7106,1343.0,0.4674,2014.0
byrakur,2009.0,1409.0,0.1152,3805.0,0.9758,2796.0,0.7073,1457.0,0.43,3279.0
devarayasamudra,1530.0,1322.0,0.1604,1972.0,0.8578,5472.0,0.6635,3000.0,0.4502,2578.0
dhoolappalli,1135.0,957.0,0.1559,2112.0,0.9758,2796.0,0.6169,4317.0,0.4544,2420.0
emmenatha,1466.0,1246.0,0.1239,3448.0,0.9758,2796.0,0.6289,4032.0,0.4236,3485.0
gudipalli,1363.0,898.0,0.0942,4654.0,1.0,1.0,0.595,4721.0,0.3828,4568.0
gummakal,2303.0,1164.0,0.1143,3846.0,1.0,1.0,0.5692,5074.0,0.4022,4098.0
h.gollahalli,1451.0,887.0,0.3517,52.0,1.0,1.0,0.6518,3409.0,0.612,90.0
hanumanahalli,1375.0,1151.0,0.127,3321.0,0.9758,2796.0,0.7054,1515.0,0.4439,2799.0
hebbani,1614.0,1192.0,0.1225,3509.0,1.0,1.0,0.6802,2437.0,0.4367,3046.0
kappalamadugu,1679.0,1495.0,0.1561,2106.0,1.0,1.0,0.789,3.0,0.4975,1284.0
kurudamale,1523.0,1181.0,0.1809,1396.0,1.0,1.0,0.6417,3693.0,0.4879,1510.0
mallanayakanahalli,1377.0,975.0,0.156,2110.0,1.0,1.0,0.6403,3730.0,0.4639,2115.0
mothakapalli,1407.0,1407.0,0.1861,1283.0,1.0,1.0,0.6938,1941.0,0.5054,1116.0
mudigere,1626.0,903.0,0.1029,4291.0,0.9758,2796.0,0.7519,287.0,0.4227,3515.0
mustur,1938.0,1283.0,0.1723,1622.0,1.0,1.0,0.6963,1850.0,0.4932,1375.0
nangli,1447.0,1245.0,0.2153,746.0,1.0,1.0,0.7502,307.0,0.5446,516.0
pichaguntlahalli,1840.0,1209.0,0.1521,2241.0,1.0,1.0,0.6474,3545.0,0.4618,2185.0
rajendrahalli,1692.0,1041.0,0.1235,3461.0,1.0,1.0,0.6768,2552.0,0.4373,3025.0
sonnavadi,1715.0,1491.0,0.185,1301.0,1.0,1.0,0.6387,3770.0,0.4907,1434.0
tayalur,1290.0,1290.0,0.1486,2381.0,1.0,1.0,0.6747,2628.0,0.4645,2097.0
thimmaravuthanahalli,1552.0,1001.0,0.0238,5873.0,1.0,1.0,0.6116,4431.0,0.2442,5866.0
uttanur,1849.0,1849.0,0.1566,2084.0,1.0,1.0,0.6572,3213.0,0.4686,1974.0
addagal,1346.0,932.0,0.1307,3147.0,1.0,1.0,0.5902,4798.0,0.4257,3415.0
arikunte,2083.0,1806.0,0.1484,2389.0,0.9758,2796.0,0.7157,1168.0,0.4697,1938.0
byraganahalli,1506.0,1143.0,0.1377,2827.0,0.9758,2796.0,0.6542,3338.0,0.4446,2771.0
chaldiganahalli,1640.0,1361.0,0.134,2984.0,1.0,1.0,0.6645,2965.0,0.4466,2695.0
dalasanur,1088.0,911.0,0.1405,2703.0,0.879,5288.0,0.7125,1273.0,0.4448,2760.0
gownipalli,1484.0,1176.0,0.1749,1544.0,0.951,4134.0,0.6377,3804.0,0.4734,1847.0
hodali,1818.0,1358.0,0.1254,3377.0,1.0,1.0,0.7256,850.0,0.4498,2594.0
j. thimmasandra,1780.0,1296.0,0.1597,1991.0,0.951,4134.0,0.4658,5699.0,0.4136,3784.0
kodipalli,1361.0,999.0,0.1233,3476.0,0.9758,2796.0,0.5723,5040.0,0.4098,3894.0
kolathur,1097.0,1097.0,0.1398,2734.0,1.0,1.0,0.6696,2799.0,0.4541,2432.0
lakshmipura,1176.0,682.0,0.245,415.0,1.0,1.0,0.718,1100.0,0.5603,324.0
mudinadagu,1214.0,494.0,0.1391,2769.0,0.9758,2796.0,0.595,4722.0,0.4322,3210.0
muttakapali,1661.0,954.0,0.0924,4717.0,0.951,4134.0,0.5818,4915.0,0.3711,4802.0
nanbihalli,1656.0,1222.0,0.0753,5255.0,1.0,1.0,0.6458,3590.0,0.365,4907.0
nelavanki,1790.0,947.0,0.1248,3404.0,1.0,1.0,0.6445,3623.0,0.4316,3225.0
pulagurkota,1418.0,1013.0,0.1014,4346.0,1.0,1.0,0.5617,5157.0,0.3847,4521.0
rayalpad,1372.0,849.0,0.1183,3676.0,1.0,1.0,0.5582,5188.0,0.4042,4038.0
ronur,1078.0,1078.0,0.1174,3714.0,0.9758,2796.0,0.6518,3408.0,0.4211,3570.0
somayajalapalli,1380.0,1103.0,0.0909,4774.0,1.0,1.0,0.4632,5707.0,0.3478,5211.0
thadigol,1616.0,1159.0,0.1086,4078.0,1.0,1.0,0.6296,4013.0,0.4089,3918.0
yeldur,699.0,648.0,0.1247,3407.0,0.9758,2796.0,0.6649,2951.0,0.4325,3200.0
yerramvariapalli,1111.0,725.0,0.1005,4383.0,1.0,1.0,0.5529999999999999,5241.0,0.3817,4593.0
amminbhavi,1399.0,1261.0,0.2302,562.0,0.9758,2796.0,0.6697,2798.0,0.5319,663.0
arwatagi,1058.0,754.0,0.1847,1303.0,1.0,1.0,0.6372,3820.0,0.49,1451.0
belur,991.0,811.0,0.2241,624.0,0.8155,5661.0,0.6811,2409.0,0.4993,1240.0
benachi,788.0,617.0,0.1743,1564.0,1.0,1.0,0.6635,2999.0,0.4872,1521.0
devarhubbali,772.0,581.0,0.1351,2929.0,1.0,1.0,0.5821,4909.0,0.4284,3321.0
garag,1668.0,1668.0,0.1421,2637.0,1.0,1.0,0.5904,4795.0,0.4378,3008.0
halligeri,984.0,546.0,0.1204,3586.0,1.0,1.0,0.6627,3032.0,0.4305,3260.0
hangarki,836.0,512.0,0.14300000000000002,2603.0,1.0,1.0,0.5979,4674.0,0.4405,2902.0
harobelawadi,920.0,751.0,0.1836,1332.0,1.0,1.0,0.6618,3059.0,0.4953,1325.0
honnapur,507.0,493.0,0.146,2477.0,1.0,1.0,0.6067,4523.0,0.4458,2727.0
kadabagatti,723.0,595.0,0.2138,772.0,1.0,1.0,0.6285,4045.0,0.5122,1001.0
kalakeri,609.0,549.0,0.1987,1028.0,1.0,1.0,0.6998,1714.0,0.5181,885.0
kanakur,1194.0,980.0,0.1919,1173.0,1.0,1.0,0.6475,3543.0,0.499,1247.0
karadigudda,788.0,550.0,0.20199999999999999,963.0,1.0,1.0,0.5878,4822.0,0.4915,1412.0
kotabagi,686.0,537.0,0.1565,2088.0,1.0,1.0,0.6427,3661.0,0.465,2084.0
kotur,1783.0,1760.0,0.2019,965.0,1.0,1.0,0.5876,4828.0,0.4914,1414.0
kurbagatti,1240.0,712.0,0.14800000000000002,2403.0,1.0,1.0,0.6409,3713.0,0.456,2367.0
kyarakoppa,715.0,439.0,0.1466,2455.0,1.0,1.0,0.6675,2865.0,0.4608,2215.0
lokur,642.0,634.0,0.1678,1746.0,1.0,1.0,0.6451,3608.0,0.4766,1756.0
madhanbhavi,1039.0,508.0,0.1152,3808.0,1.0,1.0,0.6332,3918.0,0.4178,3676.0
managundi,883.0,554.0,0.1821,1360.0,1.0,1.0,0.6963,1847.0,0.5024,1178.0
mandihal,505.0,466.0,0.1698,1680.0,1.0,1.0,0.6875,2179.0,0.4888,1495.0
marewad,507.0,384.0,0.2396,464.0,0.9758,2796.0,0.6307,3988.0,0.5283,723.0
mugad,953.0,789.0,0.2478,386.0,1.0,1.0,0.7107,1338.0,0.5605,321.0
mummigatti,1072.0,1068.0,0.2706,213.0,1.0,1.0,0.6817,2387.0,0.5692,253.0
narendra,1850.0,1699.0,0.2217,656.0,0.9758,2796.0,0.6591,3161.0,0.5225,821.0
nigadi,963.0,678.0,0.1845,1310.0,1.0,1.0,0.6224,4199.0,0.486,1535.0
pudkalakatti,556.0,314.0,0.1567,2080.0,1.0,1.0,0.6336,3910.0,0.46299999999999997,2145.0
tadakoda,1042.0,762.0,0.1477,2415.0,1.0,1.0,0.7166,1140.0,0.4731,1851.0
tegur,1552.0,954.0,0.1856,1293.0,1.0,1.0,0.6296,4014.0,0.4889,1492.0
uppin betageri,1493.0,1009.0,0.204,923.0,1.0,1.0,0.6207,4237.0,0.5021,1185.0
yadawad,1310.0,1005.0,0.2087,848.0,1.0,1.0,0.6386,3774.0,0.5108,1025.0
yerikoppa,702.0,458.0,0.2062,882.0,1.0,1.0,0.6618,3063.0,0.5149,957.0
adargunchi,2196.0,1619.0,0.2557,310.0,1.0,1.0,0.65,3466.0,0.5498,445.0
anchatgeri,895.0,455.0,0.187,1263.0,0.879,5288.0,0.6063,4531.0,0.4637,2124.0
b.aralikatti,950.0,844.0,0.3033,115.0,1.0,1.0,0.6442,3635.0,0.5803,192.0
belagali,1345.0,861.0,0.2125,790.0,0.879,5288.0,0.693,1964.0,0.5059,1112.0
byahatti,1925.0,1201.0,0.2133,779.0,1.0,1.0,0.6362,3854.0,0.5139,975.0
chabbi,633.0,613.0,0.2338,518.0,1.0,1.0,0.7135,1240.0,0.5505,435.0
hallyal,936.0,474.0,0.2162,738.0,1.0,1.0,0.6443,3632.0,0.5184,881.0
hebsur,1227.0,472.0,0.2369,488.0,0.879,5288.0,0.6732,2683.0,0.5195,862.0
ingalhalli,937.0,688.0,0.0482,5778.0,1.0,1.0,0.7107,1337.0,0.3248,5512.0
kardikoppa,678.0,512.0,0.1561,2100.0,1.0,1.0,0.6106,4449.0,0.4568,2341.0
katnur,1029.0,859.0,0.1943,1126.0,1.0,1.0,0.6389,3764.0,0.4989,1255.0
koliwad,1116.0,593.0,0.1674,1764.0,1.0,1.0,0.6283,4053.0,0.47200000000000003,1873.0
kusugal,1458.0,1309.0,0.2597,278.0,1.0,1.0,0.6026,4593.0,0.5389,584.0
mantur,1253.0,750.0,0.2126,787.0,1.0,1.0,0.6736,2668.0,0.5232,810.0
nulavi,1378.0,1361.0,0.2741,195.0,1.0,1.0,0.6999,1708.0,0.5767,212.0
rayanal,1077.0,629.0,0.2854,148.0,1.0,1.0,0.715,1189.0,0.5887,149.0
shiraguppi,1144.0,775.0,0.1754,1526.0,1.0,1.0,0.6403,3729.0,0.4825,1607.0
sulla,1095.0,848.0,0.2093,838.0,1.0,1.0,0.7234,916.0,0.5329999999999999,651.0
varur,344.0,269.0,0.1845,1309.0,1.0,1.0,0.6919,2016.0,0.5035,1152.0
bammigatti,1256.0,1216.0,0.1425,2621.0,1.0,1.0,0.6093,4473.0,0.4428,2845.0
beeravalli,1139.0,1102.0,0.1149,3820.0,1.0,1.0,0.5319,5419.0,0.3939,4304.0
belavantar,1179.0,1179.0,0.1662,1801.0,0.9758,2796.0,0.6336,3908.0,0.4684,1982.0
dastikoppa,609.0,609.0,0.1616,1943.0,0.8578,5472.0,0.6036,4583.0,0.4374,3021.0
devalingekoppa,910.0,910.0,0.1603,1973.0,1.0,1.0,0.7087,1409.0,0.4843,1564.0
devikoppa,883.0,735.0,0.11599999999999999,3768.0,1.0,1.0,0.6445,3621.0,0.4213,3562.0
dummawad,384.0,383.0,0.1578,2048.0,1.0,1.0,0.5984,4660.0,0.4554,2385.0
g.basavankoppa,709.0,588.0,0.1239,3445.0,0.9758,2796.0,0.6929,1970.0,0.4376,3012.0
galagi,1260.0,1260.0,0.1307,3150.0,1.0,1.0,0.6655,2932.0,0.4431,2833.0
gambyapur,1161.0,1143.0,0.1486,2379.0,1.0,1.0,0.6188,4274.0,0.4514,2542.0
ganjigatti,841.0,841.0,0.1344,2965.0,1.0,1.0,0.522,5477.0,0.4124,3816.0
guddadahulikati,791.0,675.0,0.1064,4159.0,1.0,1.0,0.6391,3760.0,0.4081,3947.0
hirehonnihalli,1095.0,1095.0,0.1421,2635.0,1.0,1.0,0.7367,548.0,0.4713,1892.0
jinnur,1009.0,1004.0,0.1326,3048.0,1.0,1.0,0.6159,4341.0,0.4339,3142.0
kuruvinakoppa,755.0,755.0,0.0975,4513.0,1.0,1.0,0.6356,3866.0,0.3957,4255.0
madakihonnahalli,945.0,940.0,0.1615,1949.0,1.0,1.0,0.6299,4006.0,0.4668,2029.0
mishrikoti,2929.0,2929.0,0.1506,2295.0,0.9758,2796.0,0.6328,3933.0,0.45299999999999996,2479.0
mukkal,1290.0,1290.0,0.1279,3280.0,1.0,1.0,0.6974,1809.0,0.4468,2691.0
muttagi,998.0,965.0,0.0975,4514.0,1.0,1.0,0.6743,2638.0,0.4035,4055.0
sangameshwar,786.0,786.0,0.1562,2094.0,1.0,1.0,0.6037,4580.0,0.4552,2394.0
sulikatti,1022.0,1023.0,0.07,5382.0,1.0,1.0,0.6151,4356.0,0.3505,5166.0
surashettikoppa,856.0,856.0,0.1263,3345.0,1.0,1.0,0.6687,2823.0,0.4387,2977.0
tabakadahonnihalli,1144.0,1144.0,0.1352,2923.0,0.879,5288.0,0.6412,3705.0,0.424,3473.0
tambur,1069.0,1069.0,0.1277,3291.0,1.0,1.0,0.6375,3808.0,0.4334,3165.0
tavargeri,827.0,827.0,0.139,2772.0,1.0,1.0,0.6494,3486.0,0.4485,2632.0
ugginakeri,699.0,699.0,0.1348,2942.0,0.9758,2796.0,0.6859999999999999,2223.0,0.4486,2631.0
betadur,1068.0,846.0,0.1273,3307.0,1.0,1.0,0.6294,4019.0,0.4311,3238.0
goudageri,774.0,578.0,0.0857,4935.0,1.0,1.0,0.7326,646.0,0.3974,4210.0
gudageri,1269.0,1199.0,0.1316,3107.0,1.0,1.0,0.7435,423.0,0.4608,2214.0
gudenakatti,1326.0,1326.0,0.0679,5433.0,1.0,1.0,0.6834,2329.0,0.3593,5015.0
guruvinhalli,619.0,453.0,0.0965,4556.0,1.0,1.0,0.7287,761.0,0.4128,3809.0
harlapur,812.0,812.0,0.1323,3069.0,1.0,1.0,0.6723,2714.0,0.4464,2705.0
hiregunjal,916.0,655.0,0.0962,4567.0,1.0,1.0,0.7474,354.0,0.4158,3736.0
hireharkuni,978.0,978.0,0.0986,4466.0,1.0,1.0,0.6898,2086.0,0.4082,3944.0
hirenarti,1238.0,1216.0,0.1375,2837.0,1.0,1.0,0.6545,3328.0,0.4481,2649.0
ingalagi,1407.0,1407.0,0.1142,3855.0,1.0,1.0,0.7131,1254.0,0.4334,3164.0
kalas,1008.0,1007.0,0.141,2686.0,1.0,1.0,0.6833,2332.0,0.4584,2293.0
kamadolli,1466.0,1466.0,0.0963,4564.0,1.0,1.0,0.7008,1677.0,0.4071,3964.0
kubihal,1004.0,868.0,0.0678,5434.0,1.0,1.0,0.7022,1625.0,0.3625,4959.0
mattigatti,1263.0,1097.0,0.1575,2060.0,1.0,1.0,0.7056,1508.0,0.4808,1638.0
ramanakoppa,805.0,805.0,0.1147,3826.0,1.0,1.0,0.722,973.0,0.4358,3080.0
rottigawad,520.0,520.0,0.0957,4590.0,0.879,5288.0,0.7183,1084.0,0.3924,4341.0
saunsi,2168.0,1990.0,0.0705,5367.0,1.0,1.0,0.7011,1661.0,0.3669,4868.0
yarebudihal,634.0,609.0,0.0508,5750.0,1.0,1.0,0.6787,2487.0,0.3255,5505.0
yeliwal,1164.0,1164.0,0.1531,2218.0,0.9758,2796.0,0.7309,687.0,0.4779,1709.0
yeraguppi,856.0,856.0,0.1305,3158.0,1.0,1.0,0.6795,2461.0,0.4459,2721.0
alagawadi,685.0,685.0,0.1068,4138.0,1.0,1.0,0.6519,3405.0,0.4114,3849.0
belavatagi,1250.0,485.0,0.1116,3965.0,1.0,1.0,0.6737,2663.0,0.4221,3534.0
bhadrapur,966.0,540.0,0.1122,3934.0,0.9758,2796.0,0.7069,1468.0,0.4262,3401.0
gudisagar,754.0,585.0,0.1251,3393.0,1.0,1.0,0.7240000000000001,898.0,0.4491,2619.0
gummagola,944.0,781.0,0.1811,1393.0,0.9758,2796.0,0.6996,1727.0,0.4982,1270.0
halakusugal,1083.0,497.0,0.0863,4909.0,1.0,1.0,0.6762,2580.0,0.3879,4445.0
ibrahimpur,634.0,585.0,0.0687,5420.0,0.951,4134.0,0.3824,5849.0,0.2923,5768.0
javur,755.0,411.0,0.0981,4486.0,1.0,1.0,0.6633,3012.0,0.4023,4094.0
kalawad,592.0,592.0,0.1337,3002.0,1.0,1.0,0.6379,3798.0,0.4402,2919.0
morab,2520.0,1240.0,0.2222,646.0,1.0,1.0,0.7322,655.0,0.5459,494.0
nalawadi,1350.0,1181.0,0.1783,1457.0,1.0,1.0,0.7182,1092.0,0.5041,1143.0
nayakanur,1190.0,370.0,0.1398,2739.0,1.0,1.0,0.7084,1419.0,0.4626,2158.0
shalawadi,1518.0,679.0,0.17800000000000002,1469.0,1.0,1.0,0.7068,1472.0,0.5011,1208.0
shirakol,731.0,606.0,0.0674,5442.0,1.0,1.0,0.6266,4096.0,0.3483,5202.0
shisuvinahalli,533.0,428.0,0.1349,2936.0,1.0,1.0,0.6940000000000001,1933.0,0.4541,2431.0
tuppadakurahatti,552.0,178.0,0.1126,3926.0,1.0,1.0,0.7407,471.0,0.4368,3037.0
yemanur,1385.0,774.0,0.1564,2093.0,1.0,1.0,0.6932,1961.0,0.4768,1750.0
umachagi,756.0,312.0,0.1597,1994.0,1.0,1.0,0.6569,3227.0,0.4716,1883.0
agadi,1354.0,1143.0,0.1881,1240.0,1.0,1.0,0.7257,842.0,0.5149,956.0
chakalabbi,207.0,30.0,0.0799,5128.0,1.0,1.0,0.7390000000000001,501.0,0.3894,4407.0
devanur,820.0,691.0,0.1893,1223.0,1.0,1.0,0.5977,4678.0,0.4836,1579.0
navalli,958.0,929.0,0.1333,3021.0,0.879,5288.0,0.7231,923.0,0.4392,2956.0
sasvihalli,742.0,335.0,0.0979,4498.0,0.951,4134.0,0.6774,2529.0,0.39799999999999996,4197.0
malali,517.0,486.0,0.1733,1593.0,1.0,1.0,0.6798,2454.0,0.4902,1443.0
amarapura,1459.0,626.0,0.1713,1649.0,1.0,1.0,0.6131,4397.0,0.4718,1879.0
b.d.halli,1375.0,764.0,0.1593,2005.0,0.9758,2796.0,0.4959,5599.0,0.4256,3416.0
basarakod,795.0,370.0,0.1241,3437.0,1.0,1.0,0.6692,2809.0,0.4363,3062.0
belagallu,1567.0,783.0,0.1405,2706.0,0.9758,2796.0,0.623,4186.0,0.4404,2909.0
chalagurki,1172.0,526.0,0.1679,1743.0,0.951,4134.0,0.5892,4804.0,0.4548,2409.0
dammuru,904.0,416.0,0.1327,3044.0,1.0,1.0,0.5545,5222.0,0.4191,3628.0
ganakihal,1564.0,715.0,0.147,2442.0,1.0,1.0,0.5904,4794.0,0.4427,2848.0
h.veerapura,1145.0,531.0,0.1174,3716.0,1.0,1.0,0.4869,5636.0,0.3852,4510.0
halakundi,1233.0,450.0,0.1723,1623.0,1.0,1.0,0.6068,4517.0,0.4711,1897.0
handihal,877.0,488.0,0.1559,2111.0,1.0,1.0,0.596,4704.0,0.45299999999999996,2481.0
kallukamba,1626.0,688.0,0.1286,3247.0,1.0,1.0,0.4572,5720.0,0.3888,4420.0
kappagal,1218.0,661.0,0.1427,2614.0,1.0,1.0,0.5764,4990.0,0.4349,3110.0
karekal,1173.0,368.0,0.1413,2670.0,0.9758,2796.0,0.5876,4829.0,0.4327,3193.0
kolagallu,1183.0,1183.0,0.147,2443.0,1.0,1.0,0.6514,3417.0,0.4575,2327.0
koralgundhi,1310.0,1232.0,0.1478,2412.0,0.8722,5365.0,0.5644,5125.0,0.4175,3683.0
moka,2054.0,633.0,0.174,1577.0,0.9758,2796.0,0.6294,4020.0,0.4745,1828.0
nelludi,1438.0,805.0,0.1643,1863.0,0.9758,2796.0,0.5102,5543.0,0.4341,3138.0
orvai,1421.0,718.0,0.1358,2905.0,0.8722,5365.0,0.5792,4951.0,0.4094,3908.0
p.d.halli,1166.0,574.0,0.1833,1342.0,0.9255,4748.0,0.5675,5100.0,0.4583,2297.0
rupanagudi,923.0,467.0,0.1211,3554.0,0.9758,2796.0,0.5211,5486.0,0.3949,4279.0
sanganakal,1653.0,723.0,0.1764,1508.0,0.9758,2796.0,0.7096,1388.0,0.4961,1310.0
sanjeevarayanakote,1508.0,702.0,0.1326,3051.0,0.9758,2796.0,0.6742,2641.0,0.4435,2813.0
shankarabanda,1209.0,349.0,0.1018,4331.0,1.0,1.0,0.5816,4921.0,0.3897,4400.0
siddammanahalli,1138.0,689.0,0.1635,1887.0,0.951,4134.0,0.4983,5588.0,0.4263,3397.0
sidiginamola,1369.0,558.0,0.1373,2842.0,0.8722,5365.0,0.5872,4833.0,0.4127,3810.0
sindhigeri,1469.0,437.0,0.141,2689.0,1.0,1.0,0.5774,4978.0,0.4334,3168.0
